index,AsiaCloud_RTT,CloudCenter_RTT,RackSpace_RTT,Rsa_RTT,Vps_RTT,AsiaCloud_Queue,CloudCenter_Queue,RackSpace_Queue,Rsa_Queue,Vps_Queue
0,330,400,188,246,247,390,350,200,150,270
1,330,399,188,246,308,390,400,220,130,300
2,329,399,187,246,308,510,400,220,140,330
3,329,399,187,246,308,540,450,230,150,345
4,330,399,186,245,245,570,375,200,180,300
5,329,400,187,246,245,660,375,200,200,315
6,329,399,187,246,245,750,325,200,220,300
7,330,399,187,246,245,810,350,190,240,300
8,331,399,188,245,245,780,275,220,250,255
9,330,399,187,247,253,840,300,230,230,270
10,329,399,187,245,230,930,325,220,220,285
11,330,399,187,248,245,990,250,220,190,315
12,328,399,190,246,183,990,175,220,160,330
13,333,399,188,247,182,960,225,230,150,300
14,331,400,187,249,183,900,200,230,180,330
15,330,399,187,218,182,900,225,200,160,330
16,330,403,187,217,184,900,175,180,130,300
17,338,399,187,216,182,900,200,170,140,330
18,331,400,199,219,182,960,200,160,120,375
19,330,400,187,217,182,960,225,180,110,390
20,333,399,187,218,182,1020,300,190,80,405
21,330,399,188,217,182,930,200,170,80,390
22,330,400,187,217,183,870,150,150,50,375
23,329,399,186,217,184,990,50,140,70,390
24,330,399,188,217,183,900,50,120,70,345
25,329,400,187,223,182,930,100,160,70,345
26,329,399,187,216,182,960,150,180,80,360
27,337,399,187,217,182,1020,175,190,50,345
28,331,399,186,217,183,990,225,170,50,375
29,328,399,187,217,182,990,225,160,20,360
30,329,399,187,217,183,1050,225,170,50,420
31,330,400,187,216,182,960,150,160,50,450
32,329,401,187,217,183,990,125,190,60,465
33,393,399,187,246,182,900,75,190,50,465
34,377,399,187,218,182,930,75,210,60,525
35,333,399,188,217,182,930,125,220,80,525
36,331,399,187,218,182,870,150,210,60,555
37,362,399,186,217,182,840,200,230,50,600
38,331,399,187,216,182,870,200,220,90,615
39,330,402,187,218,182,930,125,200,120,615
40,330,399,187,217,182,960,200,170,160,660
41,330,399,186,218,182,1020,200,190,170,645
42,330,399,188,217,182,1020,150,170,150,645
43,330,402,188,217,182,1020,175,150,110,645
44,331,399,224,216,182,1020,150,180,160,645
45,331,399,192,217,182,1050,225,220,160,645
46,328,399,187,217,182,1080,125,190,150,630
47,329,399,233,218,182,1020,150,170,170,615
48,330,400,194,217,182,990,150,160,180,600
49,329,399,245,217,182,990,75,120,180,630
50,332,399,196,219,182,930,75,110,180,585
51,330,399,199,217,182,960,75,100,190,645
52,331,399,186,217,182,930,75,130,210,615
53,329,399,187,5000,182,960,75,120,200,630
54,330,399,233,217,183,960,100,130,180,630
55,330,400,188,218,182,930,125,140,200,645
56,330,404,187,218,182,1020,175,120,200,645
57,329,399,187,217,182,960,100,110,190,675
58,342,400,187,218,183,960,125,130,190,690
59,332,399,187,217,186,990,25,150,200,660
60,333,399,187,217,182,1110,75,170,220,675
61,333,400,188,217,182,1140,50,150,220,720
62,331,400,187,217,183,1020,75,170,220,720
63,330,399,188,217,183,1110,50,150,220,735
64,332,400,189,220,184,1050,50,140,220,705
65,333,399,188,218,182,1020,25,150,240,735
66,329,400,186,217,185,1080,0,140,240,765
67,332,401,187,217,183,960,0,160,290,780
68,331,399,187,245,182,990,25,140,310,750
69,330,400,191,245,182,960,50,150,280,705
70,329,399,187,247,182,1050,0,180,300,735
71,329,399,186,247,182,1020,75,160,330,690
72,330,400,187,248,182,990,175,160,330,705
73,331,399,187,246,183,990,175,140,330,735
74,333,400,187,246,181,960,125,180,350,780
75,330,399,187,245,182,900,150,160,370,780
76,330,400,187,248,183,870,125,160,390,765
77,329,399,187,246,182,840,125,120,410,750
78,331,399,187,245,182,870,100,130,430,765
79,330,399,189,219,183,870,150,150,460,795
80,330,400,186,216,182,930,150,160,450,825
81,332,399,187,217,182,900,150,180,470,840
82,330,399,186,217,184,900,175,190,460,855
83,330,400,187,219,186,960,125,170,440,825
84,329,399,187,217,182,1020,150,150,410,840
85,329,399,187,218,182,1050,100,130,410,855
86,330,399,188,216,182,1050,150,150,400,870
87,331,399,187,217,182,1200,200,130,370,840
88,329,399,187,216,182,1290,200,180,400,810
89,330,400,187,217,182,1320,175,210,390,795
90,331,399,187,217,182,1380,250,200,420,780
91,331,399,187,217,194,1320,300,180,420,765
